,C_overall,Csat_1,Csat_2,Csat_ave,Csat_sd
0,100.0,95.26920811,100.425748,98.78394,2.5782699450000024
1,116.0,96.48932234,107.0939637,102.92403,5.302320680000001
2,133.0,92.04524466,100.2982999,97.11112,4.1265276200000045
3,167.0,95.68407003,105.0758584,102.11333,4.695894185
